Mağaza,X_Koordinat,Y_Koordinat,Ürün,Fiyat,Color
Gida_Magaza_6,2.535074341545751,96.26484146779252,Mandalina,161.46,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,İrmik,193.98,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Maydonoz,20.51,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Salam,122.42,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Ekmek,139.44,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Cips,197.3,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Fındık,189.09,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Havuç,145.37,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Ayçiçek Yağı,109.14,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Balık,40.69,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Tereyağı,82.99,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Salam,121.17,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Lavaş,147.79,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Meyve Suyu,130.73,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Pekmez,145.68,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Erik,91.54,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Fındık,148.25,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Karpuz,37.31,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Kaşar Peyniri,40.89,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Sarımsak,40.94,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Bira,179.26,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Makarna,24.45,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Bulgur,162.29,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Mısır Gevreği,54.38,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Balık,99.0,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Patlıcan,184.03,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Bisküvi,121.33,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Pastırma,49.92,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Gazoz,63.98,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Kola,184.88,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Kuru Üzüm,91.16,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Limon,121.53,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Tavuk,97.39,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Çikolata,81.9,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Limonata,52.42,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Mercimek,140.38,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Şeker,146.47,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Ayçiçek Yağı,62.23,yellow
Gida_Magaza_7,83.59801205122058,69.59742060936979,Nohut,159.91,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Pasta Kreması,172.36,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Kuruyemiş,184.93,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Makarna,40.63,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Zeytinyağı,67.75,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Nohut,173.47,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Şarap,47.72,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Mısır Unu,10.66,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Bal,175.46,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Beyaz Peynir,72.03,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Cips,88.75,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Lavaş,94.8,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Redbull,171.17,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Havuç,74.2,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Tereyağı,179.53,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Yoğurt,127.22,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Gazoz,110.18,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Portakal,71.87,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Meyve Suyu,56.31,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Balık,128.57,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,İrmik,94.91,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Muz,183.0,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Bulgur,103.41,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Simit,107.24,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Maydonoz,89.18,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Karnabahar,159.96,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Çilek,90.72,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Sarımsak,61.17,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Mercimek,173.79,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Ekmek,81.31,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Acı Sos,122.39,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Kabartma Tozu,126.06,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Limonata,146.58,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Sirke,69.48,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Kırmızı Et,16.43,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Ceviz,164.01,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Sosis,34.49,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Badem,147.15,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Sucuk,25.64,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Ekmek,81.31,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Fındık,21.97,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Fıstık Ezmesi,109.22,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Kaju,134.1,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Patlıcan,42.57,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Karpuz,80.61,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Mayonez,186.75,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Kahve,94.05,yellow
Gida_Magaza_8,40.89529444142699,17.329432007084577,Yulaf,162.48,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Hurma,186.17,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Üzüm,195.13,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Bitki Çayı,180.68,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Fındık,70.31,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Meyve Suyu,192.89,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Şeker,164.36,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Ceviz,169.06,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Ekmek,12.88,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Hardal,191.31,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Acı Sos,157.84,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Portakal,155.91,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Pasta Kreması,25.49,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Pekmez,54.19,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Havuç,192.83,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Sarımsak,105.13,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Ketçap,85.59,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Nutella,169.59,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Fasulye,26.59,yellow
Gida_Magaza_9,15.643704267108603,25.02428981645953,Kola,89.22,yellow
